Sales,Quantity,Discount,Profit,DimCustomer.Customer ID,DimProduct.Product ID,DimSales.Sales Rep,Dimlocation.Location ID,Dimship.Ship Date,DimOrder.Order ID
261.96,2,0,41.9136,CG-12520,"FUR-BO-10001798,Bush Somerset Collection Bookcase",Organic,"42420,Henderson",11/11/2016,CA-2016-152156
731.94,3,0,219.582,CG-12520,"FUR-CH-10000454,Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Organic,"42420,Henderson",11/11/2016,CA-2016-152156
27.68,2,0.2,9.688,MJ-17740,"OFF-BI-10004002,Wilson Jones International Size A4 Ring Binders",Organic,"98115,Seattle",11/11/2016,CA-2016-113817
14.62,2,0,6.8714,DV-13045,"OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal",Steve Pepple,"90036,Los Angeles",16/06/2016,CA-2016-138688
33.11,7,0,12.9129,RD-19585,"FUR-FU-10001918,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings",Organic,"42420,Henderson",03/11/2015,CA-2015-162537
35.36,2,0.2,-3.094,VM-21685,"TEC-AC-10002323,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card",Thompson Crawford,"19140,Philadelphia",03/11/2015,CA-2015-105221
957.5775,5,0.45,-383.031,SO-20335,"FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table",Organic,"33311,Fort Lauderdale",18/10/2015,US-2015-108966
22.368,2,0.2,2.5164,SO-20335,"OFF-ST-10000760,Eldon Fold 'N Roll Cart System",Organic,"33311,Fort Lauderdale",18/10/2015,US-2015-108966
48.86,7,0,14.1694,BH-11710,"FUR-FU-10001487,Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Organic,"90032,Los Angeles",14/06/2014,CA-2014-115812
7.28,4,0,1.9656,BH-11710,"OFF-AR-10002833,Newell 322",Organic,"90032,Los Angeles",14/06/2014,CA-2014-115812
907.152,6,0.2,90.7152,BH-11710,"TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone",Organic,"90032,Los Angeles",14/06/2014,CA-2014-115812
18.504,3,0.2,5.7825,BH-11710,"OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill",Organic,"90032,Los Angeles",14/06/2014,CA-2014-115812
114.9,5,0,34.47,BH-11710,"OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge",Organic,"90032,Los Angeles",14/06/2014,CA-2014-115812
1706.184,9,0.2,85.3092,BH-11710,"FUR-TA-10001539,Chromcraft Rectangular Conference Tables",Organic,"90032,Los Angeles",14/06/2014,CA-2014-115812
911.424,4,0.2,68.3568,BH-11710,"TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black",Organic,"90032,Los Angeles",14/06/2014,CA-2014-115812
249.75,9,0,44.955,BF-11170,"OFF-ST-10000107,Fellowes Super Stor/Drawer",Mary Gerrard,"90036,Los Angeles",16/07/2014,CA-2014-110184
15.552,3,0.2,5.4432,AA-10480,"OFF-PA-10002365,Xerox 1967",Organic,"28027,Concord",20/04/2017,CA-2017-114412
73.584,2,0.2,8.2782,JS-15685,"TEC-PH-10004093,Panasonic Kx-TS550",Daniel Gates,"90036,Los Angeles",22/09/2016,CA-2016-109806
20.1,3,0,6.633,JS-15685,"OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip",Stella Given,"90036,Los Angeles",22/09/2016,CA-2016-109806
